cm-1,mV,cm-1,mV,cm-1,mV,cm-1,mV,cm-1,mV
1660,0.011621195,1660,0.085069105,1660,0.103388503,1660,0.102567188,1660,0.014264116
1658,0.011740705,1658,0.084074385,1658,0.102672108,1658,0.099785507,1658,0.014697869
1656,0.012178794,1656,0.085659631,1656,0.103650533,1656,0.101140805,1656,0.014941637
1654,0.012364427,1654,0.09418425,1654,0.115787186,1654,0.113270134,1654,0.016259514
1652,0.011549585,1652,0.086685456,1652,0.106058039,1652,0.101919755,1652,0.013947917
1650,0.011580921,1650,0.083319694,1650,0.104092121,1650,0.098406352,1650,0.014324276
1648,0.012184826,1648,0.085210241,1648,0.106317289,1648,0.101740979,1648,0.015129876
1646,0.011482985,1646,0.085841663,1646,0.104296371,1646,0.100378871,1646,0.014182272
1644,0.011849402,1644,0.084024519,1644,0.1026555,1644,0.098343231,1644,0.01432276
1642,0.012264495,1642,0.086701214,1642,0.107665017,1642,0.102539882,1642,0.015350026
1640,0.01262938,1640,0.088018455,1640,0.108828306,1640,0.105342321,1640,0.015531694
1638,0.013421181,1638,0.091144562,1638,0.111641526,1638,0.108616292,1638,0.015910249
1636,0.013306416,1636,0.096661106,1636,0.119194627,1636,0.116412416,1636,0.017294744
1634,0.012755728,1634,0.091678426,1634,0.112303294,1634,0.106707655,1634,0.015739297
1632,0.012837153,1632,0.091321528,1632,0.112842724,1632,0.107974917,1632,0.01586559
1630,0.013027648,1630,0.091445595,1630,0.111786671,1630,0.106923729,1630,0.015950792
1628,0.012654641,1628,0.089557417,1628,0.109336428,1628,0.106593065,1628,0.015357275
1626,0.012165321,1626,0.084513582,1626,0.104560032,1626,0.100867473,1626,0.014741447
1624,0.012412896,1624,0.086375266,1624,0.106944337,1624,0.103279807,1624,0.014859285
1622,0.012334493,1622,0.086398087,1622,0.106393181,1622,0.103391975,1622,0.0147238
1620,0.012533937,1620,0.08712142,1620,0.107689425,1620,0.105026335,1620,0.014749601
1618,0.013628178,1618,0.093338698,1618,0.115866415,1618,0.112549961,1618,0.015941789
1616,0.012934684,1616,0.092867784,1616,0.113915257,1616,0.111524828,1616,0.015819013
1614,0.013344041,1614,0.092721254,1614,0.112689637,1614,0.110354744,1614,0.015990669
1612,0.01292165,1612,0.090257376,1612,0.11109215,1612,0.10795252,1612,0.015758874
1610,0.013729401,1610,0.091505893,1610,0.111224048,1610,0.10892158,1610,0.016110459
1608,0.012791525,1608,0.090363614,1608,0.1083505,1608,0.106093019,1608,0.01570484
1606,0.012535227,1606,0.084485523,1606,0.105465405,1606,0.102970332,1606,0.015369345
1604,0.012979484,1604,0.083865501,1604,0.104921296,1604,0.103814401,1604,0.015823221
1602,0.013592442,1602,0.084451303,1602,0.105472319,1602,0.105313554,1602,0.016122194
